pathway,pval,padj,foldEnrichment,overlap,size,MP
GOBP_DIGESTION,1.75E-07,0.001337833,38.64880952,5,120,MP1
GOBP_DIGESTIVE_SYSTEM_PROCESS,3.22E-06,0.01230573,39.0556391,4,95,MP1
GOBP_POSITIVE_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY,3.13E-05,0.07975725,231.8928571,2,8,MP1
GOBP_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY,5.02E-05,0.09600773,185.5142857,2,10,MP1
GOBP_POSITIVE_REGULATION_OF_CYCLASE_ACTIVITY,0.000189495,0.222379981,97.63909774,2,19,MP1
GOBP_LYMPHOCYTE_ACTIVATION,1.06E-10,8.09E-07,9.595650912,14,743,MP2
GOBP_CELL_ACTIVATION,7.13E-10,2.73E-06,7.416333524,15,1030,MP2
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,2.57E-09,5.38E-06,31.27003784,7,114,MP2
GOBP_PROGRAMMED_CELL_DEATH,2.81E-09,5.38E-06,5.193534411,18,1765,MP2
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,1.21E-08,1.85E-05,18.26923415,8,223,MP2
GOBP_PROGRAMMED_CELL_DEATH,2.42E-05,0.185239117,4.746778763,10,1765,MP3
GOBP_RESPONSE_TO_STARVATION,6.75E-05,0.218107321,18.11473409,4,185,MP3
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS,8.55E-05,0.218107321,4.617426861,9,1633,MP3
GOBP_EPITHELIUM_DEVELOPMENT,0.000175471,0.290654604,5.677294445,7,1033,MP3
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION,0.000216724,0.290654604,8.931838503,5,469,MP3
GOBP_OXIDATIVE_PHOSPHORYLATION,7.97E-15,3.83E-11,47.98965262,10,132,MP4
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,1.00E-14,3.83E-11,66.29268293,9,86,MP4
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,7.61E-14,1.94E-10,53.28196946,9,107,MP4
GOBP_AEROBIC_RESPIRATION,1.75E-13,2.79E-10,35.38901758,10,179,MP4
GOBP_ATP_METABOLIC_PROCESS,1.82E-13,2.79E-10,27.00813008,11,258,MP4
GOBP_CYTOPLASMIC_TRANSLATION,7.45E-24,5.70E-20,52.83560076,16,143,MP5
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS,1.25E-17,4.79E-14,14.5888544,19,615,MP5
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,3.73E-16,9.51E-13,12.12452088,19,740,MP5
GOBP_PEPTIDE_METABOLIC_PROCESS,6.51E-16,1.25E-12,11.75903729,19,763,MP5
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS,1.27E-13,1.95E-10,8.770425664,19,1023,MP5
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,0.000344681,1,21.02995951,3,285,MP6
GOBP_RNA_SPLICING,0.000878466,1,15.250734,3,393,MP6
GOBP_MRNA_PROCESSING,0.001323491,1,13.23076923,3,453,MP6
GOBP_B_CELL_DIFFERENTIATION,0.001704001,1,32.22332506,2,124,MP6
GOBP_NEGATIVE_REGULATION_OF_B_CELL_DIFFERENTIATION,0.002500383,1,399.5692308,1,5,MP6
GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,0.000195084,0.767893049,96.19259259,2,18,MP7
GOBP_SPINAL_CORD_MOTOR_NEURON_DIFFERENTIATION,0.0003806,0.767893049,69.25866667,2,25,MP7
GOBP_NUCLEUS_ORGANIZATION,0.00044059,0.767893049,20.13333333,3,129,MP7
GOBP_LOCALIZATION_WITHIN_MEMBRANE,0.000672616,0.767893049,6.959271168,5,622,MP7
GOBP_PEPTIDYL_LYSINE_MODIFICATION,0.000812044,0.767893049,9.410144928,4,368,MP7
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION,5.08E-07,0.003885079,5.228586914,13,1575,MP8
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,7.43E-06,0.028422152,7.701682853,8,658,MP8
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,1.13E-05,0.028888404,28.79379157,4,88,MP8
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,1.78E-05,0.029888768,15.3753256,5,206,MP8
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY,2.11E-05,0.029888768,55.8938307,3,34,MP8
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS,7.55E-06,0.057821954,5.141674465,11,958,MP9
GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,3.30E-05,0.126392284,13.65222876,5,164,MP9
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS,6.38E-05,0.126417909,5.824950939,8,615,MP9
GOBP_AUTOPHAGOSOME_MEMBRANE_DOCKING,0.000102189,0.126417909,127.9408867,2,7,MP9
GOBP_MITOCHONDRION_ENDOPLASMIC_RETICULUM_MEMBRANE_TETHERING,0.000102189,0.126417909,127.9408867,2,7,MP9
