"","MP1","MP2","MP3","MP4","MP5","MP6","MP7","MP8","MP9","MP10"
"1","PLA2G2A",NA,NA,NA,"SPINK4","PI3","KLK12","MAD2L1","CEACAM6","B4GALT5"
"2","SAA1",NA,NA,NA,"ITLN1","CEACAM6","FRZB","NPM3","ERO1A",NA
"3","HLA-DQB1",NA,NA,NA,"CLCA1","ZG16B","TLCD3A","CENPW","C12orf75",NA
"4","CCL20",NA,NA,NA,"MUC2","FABP1","ARFGEF3","CSE1L","HLA-DQB1",NA
"5","CXCL1",NA,NA,NA,"LRRC26","FABP2","AQP3",NA,NA,NA
"6","PI3",NA,NA,NA,"TFF1","FCGBP",NA,NA,NA,NA
"7","FABP2",NA,NA,NA,"SERPINA1","PDZK1IP1",NA,NA,NA,NA
"8","LMNB1",NA,NA,NA,"REG4","FUT8",NA,NA,NA,NA
"9","EEF1E1",NA,NA,NA,"ST6GALNAC1","ASS1",NA,NA,NA,NA
"10",NA,NA,NA,NA,"TPSG1",NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,"REP15",NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,"FABP2",NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,"SPDEF",NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,"FCGBP",NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,"LINC00261",NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,"DNAJC12",NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,"AQP3",NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,"NPDC1",NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,"CREB3L1",NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,"CKAP4",NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,"KLK12",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,"OTUD1",NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,"SMCO4",NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,"SEC24D",NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,"B3GNT6",NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,"RAB27A",NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,"KDELR2",NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,"HES6",NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,"RNASE4",NA,NA,NA,NA,NA
