"","pathway","pval","padj","foldEnrichment","overlap","size","MP"
"1","GOBP_BIOLOGICAL_ADHESION",7.0807138552118e-07,0.00404878160047169,7.81112781954887,9,1425,"MP1"
"2","GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION",1.27787838795489e-06,0.00404878160047169,7.27982808558348,9,1529,"MP1"
"3","GOBP_SKELETAL_SYSTEM_DEVELOPMENT",1.86582195317111e-06,0.00404878160047169,15.1440233236152,6,490,"MP1"
"4","GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT",2.11562722428305e-06,0.00404878160047169,22.8184853277104,5,271,"MP1"
"5","GOBP_LEUKOCYTE_PROLIFERATION",3.53438482669587e-06,0.00471801051083749,20.5442176870748,5,301,"MP1"
"6","GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY",7.77379508645287e-10,5.95084013867967e-06,12.3569204152249,11,578,"MP2"
"7","GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY",5.54960276122916e-09,2.12411045686046e-05,8.7644544431946,12,889,"MP2"
"8","GOBP_CONNECTIVE_TISSUE_DEVELOPMENT",8.96947052848891e-08,0.000228870989651942,18.4760162601626,7,246,"MP2"
"9","GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT",1.66157920359798e-07,0.000317984720088564,7.3329568788501,11,974,"MP2"
"10","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",3.28908901951684e-07,0.000413097941333865,15.2520134228188,7,298,"MP2"
"11","GOBP_MODULATION_OF_AGE_RELATED_BEHAVIORAL_DECLINE",0.00138546777494997,1,721.444444444444,1,9,"MP3"
"12","GOBP_NEGATIVE_REGULATION_OF_INCLUSION_BODY_ASSEMBLY",0.00153931972306476,1,649.3,1,10,"MP3"
"13","GOBP_REGULATION_OF_INCLUSION_BODY_ASSEMBLY",0.00246205811892974,1,405.8125,1,16,"MP3"
"14","GOBP_EOSINOPHIL_CHEMOTAXIS",0.00276949541029559,1,360.722222222222,1,18,"MP3"
"15","GOBP_PROTEIN_REFOLDING",0.00307686163295751,1,324.65,1,20,"MP3"
"16","GOBP_CELL_ACTIVATION",3.15921521407433e-10,2.4183792463739e-06,12.0596032081047,11,1030,"MP4"
"17","GOBP_IMMUNE_RESPONSE",2.93260434985966e-09,1.12245431490878e-05,8.20751586653675,12,1651,"MP4"
"18","GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",4.62590754118735e-09,1.18037740759297e-05,9.34641934111951,11,1329,"MP4"
"19","GOBP_LYMPHOCYTE_ACTIVATION",6.97732533569199e-09,1.33528563611805e-05,13.6782725730002,9,743,"MP4"
"20","GOBP_REGULATION_OF_CELL_ACTIVATION",4.43895705589926e-08,6.79604325258176e-05,14.1816940823152,8,637,"MP4"
"21","GOBP_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS",1.65637216725318e-05,0.0561510712669794,25.972,4,125,"MP5"
"22","GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT",3.01141686931637e-05,0.0561510712669794,6.20152817574021,8,1047,"MP5"
"23","GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE",3.01176745045371e-05,0.0561510712669794,49.6913265306122,3,49,"MP5"
"24","GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS",4.07905407511454e-05,0.0561510712669794,5.09743545010468,9,1433,"MP5"
"25","GOBP_NUCLEOSIDE_BISPHOSPHATE_BIOSYNTHETIC_PROCESS",5.00617818219428e-05,0.0561510712669794,41.9806034482759,3,58,"MP5"
"26","GOBP_TISSUE_DEVELOPMENT",9.74771060445852e-10,7.461872467713e-06,4.55068493150685,22,1720,"MP6"
"27","GOBP_POSITIVE_REGULATION_OF_CELL_DEATH",3.7104022826768e-07,0.00142015647369455,7.12857748833496,11,549,"MP6"
"28","GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT",1.10204030239453e-06,0.00281203950494337,4.75733668275961,14,1047,"MP6"
"29","GOBP_RESPONSE_TO_LIPID",2.66820837630857e-06,0.00501350811575832,5.23849062946466,12,815,"MP6"
"30","GOBP_LOCOMOTION",3.66511245650242e-06,0.00501350811575832,3.55362748096518,17,1702,"MP6"
"31","GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS",9.02309763924779e-07,0.00365343688071984,4.07499803875422,16,1821,"MP7"
"32","GOBP_HUMORAL_IMMUNE_RESPONSE",9.54523025661618e-07,0.00365343688071984,13.2510204081633,7,245,"MP7"
"33","GOBP_LYMPHOCYTE_ACTIVATION",3.74615230085231e-06,0.00955893195434148,6.24206883291675,10,743,"MP7"
"34","GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS",5.58034087229874e-06,0.0106793773443617,3.7726603656647,15,1844,"MP7"
"35","GOBP_EMBRYO_DEVELOPMENT",1.04715014745422e-05,0.0160318687575241,4.95305131761442,11,1030,"MP7"
"36","GOBP_MUSCLE_CONTRACTION",9.29710164615736e-15,7.11693131013346e-11,41.4888178913738,10,313,"MP8"
"37","GOBP_MUSCLE_SYSTEM_PROCESS",8.83957923193182e-14,3.3833489510219e-10,33.1275510204082,10,392,"MP8"
"38","GOBP_SMOOTH_MUSCLE_CONTRACTION",1.10340463813291e-10,2.81552083496914e-07,77.1445544554455,6,101,"MP8"
"39","GOBP_TISSUE_DEVELOPMENT",1.00140373665483e-08,1.91643640102319e-05,8.305,11,1720,"MP8"
"40","GOBP_MUSCLE_STRUCTURE_DEVELOPMENT",1.53520826211687e-07,0.000227850544397259,15.7815972222222,7,576,"MP8"
"41","GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS",7.12955265556719e-06,0.0471462683520515,6.51562369337979,9,875,"MP9"
"42","GOBP_DEFENSE_RESPONSE",1.35624606539749e-05,0.0471462683520515,4.67971629346918,11,1489,"MP9"
"43","GOBP_RESPONSE_TO_VIRUS",1.84766564410391e-05,0.0471462683520515,10.7366680446465,6,354,"MP9"
"44","GOBP_DEVELOPMENTAL_GROWTH",3.50127683959285e-05,0.0640561262977896,7.50295076554827,7,591,"MP9"
"45","GOBP_RESPONSE_TO_CYTOKINE",4.18394031990788e-05,0.0640561262977896,6.05460850307428,8,837,"MP9"
"46","GOBP_NEUTROPHIL_MIGRATION",5.70294808090626e-07,0.00412023588596249,19.9477726574501,6,124,"MP10"
"47","GOBP_GRANULOCYTE_MIGRATION",1.67231367785339e-06,0.00412023588596249,16.6008309364014,6,149,"MP10"
"48","GOBP_DEFENSE_RESPONSE",1.99052850382248e-06,0.00412023588596249,4.15299497905274,15,1489,"MP10"
"49","GOBP_HUMORAL_IMMUNE_RESPONSE",2.15296453871325e-06,0.00412023588596249,11.7786848072562,7,245,"MP10"
"50","GOBP_RESPONSE_TO_CHEMOKINE",3.49893120527129e-06,0.00535686367527035,21.6975772765246,5,95,"MP10"
