"","pathway","pval","padj","foldEnrichment","overlap","size","MP"
"1","GOBP_MITOCHONDRIAL_TRANSPORT",0.000540634496166993,1,10.6650241248332,4,191,"MP1"
"2","GOBP_RAB_PROTEIN_SIGNAL_TRANSDUCTION",0.00077516038044978,1,48.500466853408,2,21,"MP1"
"3","GOBP_SUBSTRATE_DEPENDENT_CELL_MIGRATION",0.00101495249108781,1,42.437908496732,2,24,"MP1"
"4","GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT",0.00103804117280511,1,15.1263832265579,3,101,"MP1"
"5","GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION",0.00228213335123885,1,28.2919389978214,2,36,"MP1"
"6","GOBP_INDOLE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS",1.12282229393758e-05,0.042976023300461,376.405797101449,2,6,"MP2"
"7","GOBP_PRIMARY_AMINO_COMPOUND_BIOSYNTHETIC_PROCESS",1.12282229393758e-05,0.042976023300461,376.405797101449,2,6,"MP2"
"8","GOBP_SEROTONIN_METABOLIC_PROCESS",3.36121075166093e-05,0.0857668943465481,225.84347826087,2,10,"MP2"
"9","GOBP_PRIMARY_AMINO_COMPOUND_METABOLIC_PROCESS",5.81668472326114e-05,0.11131680389141,173.725752508361,2,13,"MP2"
"10","GOBP_AMMONIUM_ION_METABOLIC_PROCESS",0.000155929323219686,0.238727793849339,107.544513457557,2,21,"MP2"
"11","GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA",0.000240669963041729,0.778123560027943,86.8628762541806,2,26,"MP3"
"12","GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS",0.000259783569777748,0.778123560027943,83.6457326892109,2,27,"MP3"
"13","GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE",0.000321434120868915,0.778123560027943,75.2811594202899,2,30,"MP3"
"14","GOBP_MITOCHONDRIAL_TRANSPORT",0.000622105119410269,0.778123560027943,17.7363988162987,3,191,"MP3"
"15","GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA",0.000693776631774505,0.778123560027943,51.3280632411067,2,44,"MP3"
"16","GOBP_CELL_ACTIVATION",1.7327109376053e-09,1.32639022273686e-05,8.40517799352751,13,1030,"MP4"
"17","GOBP_LYMPHOCYTE_ACTIVATION",7.87902318899862e-09,3.01569612558922e-05,9.8592676950685,11,743,"MP4"
"18","GOBP_T_CELL_ACTIVATION",2.66600801121905e-08,6.80276377529395e-05,12.6713286713287,9,473,"MP4"
"19","GOBP_DEFENSE_RESPONSE",1.10867716580599e-06,0.00165623631444753,5.36694735754507,12,1489,"MP4"
"20","GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS",1.12755006720327e-06,0.00165623631444753,12.667502787068,7,368,"MP4"
"21","GOBP_THIOESTER_BIOSYNTHETIC_PROCESS",0.000551139695452566,1,57.5238095238095,2,43,"MP5"
"22","GOBP_NUCLEOSIDE_BISPHOSPHATE_BIOSYNTHETIC_PROCESS",0.00100155224981974,1,42.6469622331691,2,58,"MP5"
"23","GOBP_THIOESTER_METABOLIC_PROCESS",0.0021845855436644,1,28.7619047619048,2,86,"MP5"
"24","GOBP_PYRUVATE_METABOLIC_PROCESS",0.00293852503338679,1,24.7352380952381,2,100,"MP5"
"25","GOBP_NITROGEN_COMPOUND_TRANSPORT",0.00313325125147397,1,3.91380349608198,6,1896,"MP5"
"26","GOBP_GOLGI_VESICLE_TRANSPORT",8.05562396505278e-05,0.285382586336642,16.941943900848,4,292,"MP6"
"27","GOBP_INTRACELLULAR_TRANSPORT",0.000112546791943776,0.285382586336642,5.82985409652076,7,1485,"MP6"
"28","GOBP_LABYRINTHINE_LAYER_BLOOD_VESSEL_DEVELOPMENT",0.000117272480324926,0.285382586336642,123.67619047619,2,20,"MP6"
"29","GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT",0.00014912218750445,0.285382586336642,28.7619047619048,3,129,"MP6"
"30","GOBP_PLACENTA_BLOOD_VESSEL_DEVELOPMENT",0.000285474001514343,0.437060696318459,79.7910906298003,2,31,"MP6"
"31","GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION",0.00301932375387451,1,4.92285530156564,5,977,"MP7"
"32","GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",0.00314694661284063,1,10.1255360623782,3,285,"MP7"
"33","GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MATRIX_ADHESION_VIA_FIBRONECTIN",0.00415208390436161,1,240.481481481481,1,4,"MP7"
"34","GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE",0.00502780815931238,1,8.56313880646225,3,337,"MP7"
"35","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MICROTUBULE",0.00518750803154044,1,192.385185185185,1,5,"MP7"
"36","GOBP_CHROMATIN_ORGANIZATION",4.59213684972626e-05,0.150147326126397,6.14794650254468,8,497,"MP8"
"37","GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION",5.80896502746736e-05,0.150147326126397,4.16387803882703,11,1009,"MP8"
"38","GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS",5.88428449874843e-05,0.150147326126397,3.14613819168524,15,1821,"MP8"
"39","GOBP_CHROMOSOME_ORGANIZATION",0.000130248020857252,0.249262149915565,4.16511642825069,10,917,"MP8"
"40","GOBP_MALE_GAMETE_GENERATION",0.000189153117069379,0.256874820036901,5.86313209494324,7,456,"MP8"
"41","GOBP_MITOCHONDRION_ORGANIZATION",1.2269937819827e-06,0.00939263740107757,6.37420794288264,11,498,"MP9"
"42","GOBP_CELLULAR_OXIDANT_DETOXIFICATION",1.55627927898915e-05,0.0595665894033098,16.0320987654321,5,90,"MP9"
"43","GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE",4.10457782452706e-05,0.0854775443494998,13.1171717171717,5,110,"MP9"
"44","GOBP_REGULATION_OF_CELL_DEATH",4.46649480598301e-05,0.0854775443494998,3.11975975975976,16,1480,"MP9"
"45","GOBP_DETOXIFICATION",7.55126549152384e-05,0.1081362406597,11.5431111111111,5,125,"MP9"
"46","GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION",3.79848705018786e-06,0.029077418369188,6.95182012847966,9,934,"MP10"
"47","GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION",9.71391956768163e-06,0.0371800271453014,6.18970448045758,9,1049,"MP10"
"48","GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",3.90570992522438e-05,0.0796589993368468,206.126984126984,2,7,"MP10"
"49","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SUMOYLATION",5.20306984564643e-05,0.0796589993368468,180.361111111111,2,8,"MP10"
"50","GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",5.20306984564643e-05,0.0796589993368468,180.361111111111,2,8,"MP10"
